"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A9E0","2020-04-09 00:00:00","26.000","148.000","1.100","18.900","0.810","1015.000","","0.000","-99.000","-99.000","-99.000","19.900","","16.600",""
"C0R480","2020-04-09 00:00:00","57.000","25.000","1.200","21.400","0.840","1009.200","","0.000","-99.000","-99.000","-99.000","28.200","","17.600",""
"C0X300","2020-04-09 00:00:00","70.000","0.000","0.200","18.800","0.960","1008.200","","0.000","-99.000","-99.000","-99.000","26.200","","14.800",""
"C0U970","2020-04-09 00:00:00","7.000","0.000","0.000","18.900","0.880","1018.200","","0.000","-99.000","-99.000","-99.000","21.300","","16.700",""
"C0R340","2020-04-09 00:00:00","230.000","0.000","0.000","18.300","0.980","989.800","","0.000","-99.000","-99.000","-99.000","28.100","","17.100",""
"C0M750","2020-04-09 00:00:00","10.000","16.000","1.400","19.700","0.830","1015.500","","0.000","-99.000","-99.000","-99.000","24.100","","16.500",""
"C0I110","2020-04-09 00:00:00","161.000","82.000","0.900","19.800","0.890","998.600","","0.000","-99.000","-99.000","-99.000","24.500","","16.300",""
"C0V370","2020-04-09 00:00:00","74.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0C690","2020-04-09 00:00:00","242.000","158.000","1.400","17.200","0.800","988.700","","0.000","-99.000","-99.000","-99.000","17.700","","15.100",""
"C0A540","2020-04-09 00:00:00","401.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0SA60","2020-04-09 00:00:00","6.000","352.000","1.300","21.000","0.820","1015.600","","0.000","-99.000","-99.000","-99.000","25.900","","19.600",""
"C0H950","2020-04-09 00:00:00","192.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0O960","2020-04-09 00:00:00","112.000","21.000","1.100","18.600","0.910","1002.900","","0.000","-99.000","-99.000","-99.000","27.900","","14.800",""
"C0V490","2020-04-09 00:00:00","20.000","351.000","1.900","22.100","0.710","1014.400","","0.000","-99.000","-99.000","-99.000","27.000","","17.800",""
"C0E870","2020-04-09 00:00:00","34.000","0.000","0.000","18.300","0.840","1014.900","","0.000","-99.000","-99.000","-99.000","22.500","","16.400",""
"C0M800","2020-04-09 00:00:00","440.000","0.000","0.000","19.100","0.930","967.000","","0.000","-99.000","-99.000","-99.000","25.000","","17.300",""
"C0A570","2020-04-09 00:00:00","360.000","0.000","0.000","15.400","0.990","976.900","","0.000","-99.000","-99.000","-99.000","17.500","","13.400",""
"C0S790","2020-04-09 00:00:00","236.000","330.000","1.100","18.600","0.920","991.800","","0.000","-99.000","-99.000","-99.000","26.400","","17.400",""
"C0D590","2020-04-09 00:00:00","143.000","49.000","2.300","17.500","0.800","1001.400","","0.000","-99.000","-99.000","-99.000","21.000","","15.100",""
"C0U990","2020-04-09 00:00:00","31.000","0.000","0.200","18.900","0.890","1015.200","","0.000","-99.000","-99.000","-99.000","21.400","","16.400",""
"C0M700","2020-04-09 00:00:00","150.000","96.000","1.500","18.600","0.990","999.800","","0.000","-99.000","-99.000","-99.000","25.500","","15.000",""
"C0A970","2020-04-09 00:00:00","96.000","340.000","4.100","17.300","0.990","1007.500","","1.500","-99.000","-99.000","-99.000","18.700","","16.300",""
"CM0110","2020-04-09 00:00:00","7.000","33.000","1.600","19.500","0.710","1016.200","","-99.000","-99.000","-99.000","-99.000","22.900","","16.900",""
"C0S940","2020-04-09 00:00:00","150.000","348.000","0.700","20.700","0.820","999.400","","0.000","-99.000","-99.000","-99.000","23.300","","18.300",""
"C0X250","2020-04-09 00:00:00","33.000","42.000","0.800","19.900","0.810","1012.700","","0.000","-99.000","-99.000","-99.000","26.500","","15.500",""
"C0K520","2020-04-09 00:00:00","10.000","35.000","0.500","19.500","0.830","1014.600","","0.000","-99.000","-99.000","-99.000","23.700","","16.400",""
"C0Z200","2020-04-09 00:00:00","153.000","172.000","0.400","18.800","0.990","1000.800","","0.000","-99.000","-99.000","-99.000","22.900","","16.600",""
"C0V740","2020-04-09 00:00:00","60.000","310.000","1.200","20.600","0.890","1010.500","","0.000","-99.000","-99.000","-99.000","27.800","","16.300",""
"C0V790","2020-04-09 00:00:00","410.000","46.000","1.700","19.400","0.880","969.000","","0.000","-99.000","-99.000","-99.000","26.500","","18.100",""
